stage,quotes
Rejected,6028
Auto Rejected,2070
Accounts - Reconciliation,634
Created,630
On Ground,191
Accepted,108
Rejected After Confrmation QA pending,88
Rejected After Confrmation QA completed,69
Lead,31
PRE QA - pending,20
Rejected After Confirmation QA pending,20
Requote,15
PRE QA - completed,12
Completed (Accounts),11
Delivered,5
Final QA,1
Payment Received - Release Vouchers,1
Requote After Confirmation,1
