created_at,quotes_first_accepted
2025-01,4
2025-02,18
2025-03,41
2025-04,47
2025-05,41
2025-06,40
2025-07,58
2025-08,87
2025-09,68
2025-10,69
2025-11,61
2025-12,61
2026-01,53
2026-02,44
2026-03,35
2026-04,49
2026-05,41
2026-06,49
2026-07,62
2026-08,36
2026-09,4
