label,n
Aug 2026,25
Sep 2026,86
Oct 2026,102
Nov 2026,172
Dec 2026,130
Jan 2027,28
Feb 2027,34
Mar 2027,32
Apr 2027,17
May 2027,12
Jun 2027,3
Jul 2027,1
13+ months,1
