quoteid,quote_no,stage,created_at,trip,country,pax,owner
2348223,TDU30265,Accounts - Reconciliation,2025-01-02 20:37:21,2025-01-31,Australia,2,
2348226,TDU25205G,Accounts - Reconciliation,2025-01-02 21:59:53,2025-03-13,New Zealand,14,
2348283,TDU25214G,Accounts - Reconciliation,2025-01-05 22:40:24,2025-04-15,New Zealand,28,
2348331,TDU25227G,Accounts - Reconciliation,2025-01-08 14:40:27,2025-06-16,Australia,31,
2348342,TDU30332,On Ground,2025-01-08 21:16:52,2025-01-15,Australia,2,
2348393,TDU30362,On Ground,2025-01-10 15:42:05,2025-01-16,Australia,2,
2348397,TDU30366,On Ground,2025-01-10 16:52:23,2025-01-16,Australia,2,
2348400,TDU30369,On Ground,2025-01-10 17:42:52,2025-01-17,Australia,6,
2348402,TDU30370,On Ground,2025-01-10 18:10:16,2025-01-25,Australia,2,
2348404,TDU30371,Accounts - Reconciliation,2025-01-10 20:13:21,2025-02-04,Australia,2,
2348406,TDU30372,Accounts - Reconciliation,2025-01-10 20:59:42,2025-02-08,Australia,2,
2348408,TDU30373,On Ground,2025-01-10 21:36:51,2025-01-29,Australia,1,
2348409,TDU30374,On Ground,2025-01-10 21:56:46,2025-01-29,Australia,2,
2348411,TDU30375,Accounts - Reconciliation,2025-01-10 22:23:25,2025-01-31,Australia,2,
2348413,TDU30376,Accounts - Reconciliation,2025-01-10 22:49:42,2025-02-01,Australia,2,
2348428,TDU30384,PRE QA - completed,2025-01-11 17:36:53,2025-01-31,Australia,2,
2348430,TDU30385,Accounts - Reconciliation,2025-01-11 20:30:17,2025-02-01,Australia,3,
2348431,TDU30386,Accounts - Reconciliation,2025-01-11 21:30:49,2025-02-06,Australia,2,
2348433,TDU30387,PRE QA - completed,2025-01-11 21:53:29,2025-02-07,Australia,2,
2348436,TDU30388,Accounts - Reconciliation,2025-01-11 22:43:29,2025-02-10,Australia,3,
2348440,TDU30391,PRE QA - completed,2025-01-12 04:05:14,2025-03-19,Australia,5,
2348442,TDU30393,PRE QA - completed,2025-01-12 04:32:25,2025-02-25,Australia,2,
2348446,TDU30397,On Ground,2025-01-12 13:56:13,2025-01-15,Australia,2,
2348447,TDU30398,Completed (Accounts),2025-01-12 14:16:16,2025-02-14,Australia,2,
2348448,TDU30399,Accounts - Reconciliation,2025-01-12 14:27:09,2025-02-14,Australia,6,
2348449,TDU30400,Completed (Accounts),2025-01-12 15:05:16,2025-02-15,Australia,3,
2348450,TDU30401,PRE QA - completed,2025-01-13 02:45:31,2025-02-17,Australia,2,
2348451,TDU30402,PRE QA - completed,2025-01-13 03:10:46,2025-02-13,Australia,2,
2348452,TDU25247G,Accounts - Reconciliation,2025-01-13 12:40:42,2025-02-13,Australia,16,
2348484,TDU30428,On Ground,2025-01-14 21:18:49,2025-03-01,Australia,4,
2348545,TDU30458,On Ground,2025-01-18 17:26:30,2025-01-22,Australia,2,
2348615,TDU30488,On Ground,2025-01-21 19:34:51,2025-01-28,Australia,2,
2349450,TDU25314G,On Ground,2025-01-29 15:35:15,2025-02-12,Australia,18,
2349680,TDU30705,On Ground,2025-02-15 19:20:40,2025-02-24,Australia,2,
2349828,TDU25473G,Accounts - Reconciliation,2025-02-23 11:17:31,2025-09-13,Australia,13,
2350171,TDU25552G,Accounts - Reconciliation,2025-02-26 14:53:06,2025-04-13,Australia,17,
2350375,TDU25609G,On Ground,2025-01-13 17:28:27,2025-05-11,Australia,11,
2350999,TDU31660,On Ground,2025-05-23 21:21:06,2025-05-26,Australia,5,
2351426,TDU25903G,Accepted,2025-06-23 11:59:09,2025-09-01,Australia,35,
2352478,TDU26211G,Accepted,2025-08-22 16:36:39,2025-09-04,Australia,38,
2352900,TDU26301G,Accepted,2025-09-09 11:31:51,2025-12-03,New Zealand,57,
2353328,TDU33372,On Ground,2025-09-29 13:00:25,2025-10-07,Australia,1,
2353439,TDU33461,On Ground,2025-10-06 23:08:17,2025-10-12,Australia,9,HarshP
2353464,TDU26416G,PRE QA - pending,2025-10-08 11:49:50,2026-02-25,Australia,38,
2354492,TDU34296,Accounts - Reconciliation,2025-12-09 19:01:55,2025-12-11,Australia,1,
2357592,TDU27412G,Accepted,2026-04-23 16:47:26,2026-08-28,Australia,11,
2357994,TDU37000,Accepted,2026-08-25 10:18:34,2026-10-01,Australia,1,
