owner,kind,n
ArunP,accepted,1
ArunP,rejected,11
HarshP,accepted,6
HarshP,rejected,74
HarshP,requote,2
hemant,accepted,14
hemant,rejected,105
hemant,requote,2
karthik,accepted,4
karthik,rejected,4
karthik,requote,2
