created_at,affected
2024-09,93
2024-10,440
2024-11,133
2024-12,259
2025-01,481
2025-02,404
2025-03,381
2025-04,405
2025-05,395
2025-06,264
2025-07,308
2025-08,466
2025-09,569
2025-10,313
2025-11,439
2025-12,319
2026-01,311
2026-02,208
2026-03,243
2026-04,335
2026-05,230
2026-06,121
2026-07,39
2026-08,35
2026-09,7
