month,records,total_populated,trams_populated
2024-11,15,7,8
2024-12,26,11,15
2025-01,57,15,42
2025-02,66,26,40
2025-03,78,37,41
2025-04,128,53,75
2025-05,108,46,62
2025-06,95,49,46
2025-07,63,31,32
2025-08,102,51,51
2025-09,105,55,50
2025-10,215,85,130
2025-11,156,75,81
2025-12,187,80,107
2026-01,142,66,76
2026-02,123,46,77
2026-03,137,47,90
2026-04,110,52,58
2026-05,129,51,78
2026-06,129,64,65
2026-07,101,50,51
2026-08,67,40,27
