month,payment_records
2024-11,15
2024-12,26
2025-01,57
2025-02,66
2025-03,78
2025-04,128
2025-05,108
2025-06,95
2025-07,63
2025-08,102
2025-09,105
2025-10,215
2025-11,156
2025-12,187
2026-01,142
2026-02,123
2026-03,137
2026-04,110
2026-05,129
2026-06,129
2026-07,101
2026-08,67
