date,surfaced,qualifying
2026-08-05,173,517
2026-08-06,166,517
2026-08-07,172,517
2026-08-08,178,517
2026-08-10,209,517
2026-08-11,204,517
2026-08-12,189,517
2026-08-13,190,517
2026-08-14,223,517
2026-08-15,215,517
2026-08-17,242,517
2026-08-18,193,517
