label,value,detail,number
Quotes in August,362,Latest complete month • 2026,362.0
Change from July,−18%,439 → 362 • 77 fewer quotes,-17.54
Win rate on decided quotes,13%,"270 of 2,105 • Jan–Jul 2026",12.83
Automatically rejected,21%,"2,070 of 9,935 • snapshot",20.84
Open book,645,Created / Requote • snapshot,645.0
Carry-over backlog,135,Quotes • 18 Aug view • oldest 50 days,135.0
