name,quotes,accepted,decided,win_pct,win_pct_rounded
Australia,7422,745,5266,14.15,14
New Zealand,2438,238,1905,12.49,12
FIT,6825,714,5321,13.42,13
Groups,3110,269,1867,14.41,14
