quoteid,user_name,stage,created_at,copies
2351198,maharshi,"Dinner at Indian Restaurant Price change: Sale Price: $80.00 -> $70.00, Child Price: $80.00 -> $70.00",2025-08-21 17:37:07,3
2351198,maharshi,"Lunch at Indian Restaurant Price change: Sale Price: $30.00 -> $45.00, Child Price: $30.00 -> $45.00",2025-07-15 18:39:18,2
2351198,maharshi,"Lunch at Indian Restaurant Price change: Sale Price: $45.00 -> $30.00, Child Price: $45.00 -> $30.00",2025-07-15 18:59:29,3
2351216,RakeshM,"Coach for Cairns City to Kuranda return transfer(53 Seat Coach) Price change: Sale Price: $1,094.00 -> $1,084.00",2025-06-08 22:49:49,3
2351218,Dhiraj,"Coach for 10 hours Sydney City Tour (40 Pax) Price change: Sale Price: $1,295.00 -> $1,505.00",2025-06-08 22:59:13,3
2351218,Dhiraj,"Coach for 12 hours for Blue Mountains(40 Pax) Price change: Sale Price: $1,730.00 -> $1,940.00",2025-06-08 22:59:13,3
2351218,Dhiraj,"Coach for 8 hours Sydney Airport to Hotel including City Tour(40 Pax) Price change: Sale Price: $1,125.00 -> $1,335.00",2025-06-08 22:59:13,3
2351218,Dhiraj,Show Boat dinner Transfers (40 Pax) Price change: Sale Price: $367.50 -> $420.00,2025-06-08 22:59:13,3
2351218,Dhiraj,Sydney Hotel to Airport(40 Pax) Price change: Sale Price: $420.00 -> $472.50,2025-06-08 22:59:14,3
2351231,RakeshM,"Lunch at Indian Restaurant Price change: Sale Price: $30.00 -> $35.00, Child Price: $30.00 -> $35.00",2025-06-09 23:39:56,2
2351234,RakeshM,"12 Hours Vehicle - Opera House +  3 Attraction Tickets + City Tour+ Dinner Transfers  (53 Pax) Price change: Sale Price: $0.00 -> $1,535.00",2025-06-10 13:43:08,3
2351234,RakeshM,"12 Hours Vehicle - Opera House +  3 Attraction Tickets + City Tour+ Dinner Transfers  (53 Pax) Price change: Sale Price: $0.00 -> $1,745.00",2025-06-10 13:43:08,3
2351234,RakeshM,"Airport to Hotel Including City tour 10 hours(53-57 Pax) Price change: Sale Price: $0.00 -> $1,030.00",2025-06-10 13:43:08,3
2351234,RakeshM,Airport to Hotel Including City tour 10 hours(53-57 Pax) Price change: Sale Price: $0.00 -> $980.00,2025-06-10 13:43:08,3
2351234,RakeshM,"Coach for 12 hours for Blue Mountains(53 Pax) Price change: Sale Price: $0.00 -> $1,730.00",2025-06-10 13:43:08,3
2351234,RakeshM,"Coach for 12 hours for Blue Mountains(53 Pax) Price change: Sale Price: $0.00 -> $1,940.00",2025-06-10 13:43:08,3
2351234,RakeshM,"Coach for 12 hours to Great Ocean Road(53-57 Pax) Price change: Sale Price: $0.00 -> $1,843.00",2025-06-10 13:43:08,3
2351234,RakeshM,"Coach for 12 hours to Great Ocean Road(53-57 Pax) Price change: Sale Price: $0.00 -> $1,892.00",2025-06-10 13:43:08,3
2351234,RakeshM,"Coach for 8 hours Sydney Airport to Hotel including City Tour(53 Pax) Price change: Sale Price: $0.00 -> $1,125.00",2025-06-10 13:43:08,3
