date,sp1,sp2,sp3,sp4
2026-08-05,31,108,1,1
2026-08-06,33,108,1,1
2026-08-07,37,107,1,2
2026-08-08,37,107,1,2
2026-08-10,39,107,1,2
2026-08-11,42,107,1,2
2026-08-12,43,107,1,2
2026-08-13,47,106,1,3
2026-08-14,50,106,1,3
2026-08-15,50,106,1,3
2026-08-17,52,105,3,2
2026-08-18,60,105,3,2
