month,calls,missing
2024-11,15,15
2024-12,8,8
2025-01,53,53
2025-02,56,56
2025-03,53,53
2025-04,562,562
2025-05,1168,1168
2025-06,907,907
2025-07,1120,1120
2025-08,434,434
2025-09,1024,1024
2025-10,372,372
2025-11,460,460
2025-12,116,116
2026-01,214,214
2026-02,592,592
2026-03,348,348
2026-04,876,876
2026-05,696,696
2026-06,595,362
2026-07,1415,125
2026-08,587,62
2026-09,27,3
