month,rows,missing
2024-09,94,94
2024-10,460,133
2024-11,157,157
2024-12,273,273
2025-01,486,486
2025-02,404,404
2025-03,382,382
2025-04,415,415
2025-05,414,414
2025-06,412,412
2025-07,551,551
2025-08,617,617
2025-09,665,665
2025-10,448,448
2025-11,554,554
2025-12,403,403
2026-01,467,467
2026-02,371,371
2026-03,394,394
2026-04,425,425
2026-05,358,358
2026-06,414,414
2026-07,440,440
2026-08,362,362
2026-09,7,7
