user,outcome,n
ArunP,next_call,109
HarshP,inbound_call,6
HarshP,next_call,94
HarshP,no_answer_email,32
hemant,inbound_call,1
hemant,interested,2
hemant,next_call,112
hemant,no_answer_email,47
