file,field,blank_or_null,empty_string,null_literal,rows,percent
vtiger_quotescf.csv,cf_1024,9973,9973,0,9973,100.0
vtiger_quotescf.csv,cf_1162,0,0,0,9973,0.0
vtiger_quotescf.csv,cf_1172,9973,9973,0,9973,100.0
vtiger_quotescf.csv,cf_1174,9973,9973,0,9973,100.0
vtiger_quotescf.csv,cf_1176,9973,9973,0,9973,100.0
vtiger_quotescf.csv,cf_1182,8906,0,8906,9973,89.3
vtiger_quotescf.csv,cf_1182_pending,9962,0,9962,9973,99.89
vtiger_quotescf.csv,cf_1184,0,0,0,9973,0.0
vtiger_quotescf.csv,cf_1186,0,0,0,9973,0.0
vtiger_quotescf.csv,cf_1188,3148,0,3148,9973,31.57
vtiger_quotescf.csv,cf_1190,0,0,0,9973,0.0
vtiger_quotescf.csv,cf_1192,0,0,0,9973,0.0
vtiger_quotescf.csv,cf_1196,0,0,0,9973,0.0
vtiger_quotescf.csv,cf_1200,9645,0,9645,9973,96.71
vtiger_quotescf.csv,cf_1202,9958,313,9645,9973,99.85
vtiger_quotescf.csv,cf_1204,9965,320,9645,9973,99.92
vtiger_quotescf.csv,cf_1206,0,0,0,9973,0.0
vtiger_quotescf.csv,cf_1208,0,0,0,9973,0.0
vtiger_quotescf.csv,cf_1220,9973,328,9645,9973,100.0
vtiger_quotescf.csv,cf_1224,9973,328,9645,9973,100.0
vtiger_quotescf.csv,cf_1250,9973,9973,0,9973,100.0
vtiger_quotescf.csv,cf_1252,9645,0,9645,9973,96.71
vtiger_quotescf.csv,cf_1254,9973,9973,0,9973,100.0
vtiger_quotescf.csv,cf_1256,9645,0,9645,9973,96.71
vtiger_quotescf.csv,cf_1258,9973,9973,0,9973,100.0
vtiger_quotescf.csv,cf_1260,9645,0,9645,9973,96.71
vtiger_quotescf.csv,cf_1272,9973,9973,0,9973,100.0
vtiger_quotescf.csv,cf_1274,9973,9973,0,9973,100.0
vtiger_quotescf.csv,cf_1276,9973,9973,0,9973,100.0
vtiger_quotescf.csv,cf_1278,9973,9973,0,9973,100.0
vtiger_quotescf.csv,cf_1280,9973,9973,0,9973,100.0
vtiger_quotescf.csv,cf_1282,9973,9973,0,9973,100.0
vtiger_quotescf.csv,cf_1319,9973,9973,0,9973,100.0
vtiger_quotescf.csv,cf_1321,9973,9973,0,9973,100.0
vtiger_quotescf.csv,cf_1323,9973,9973,0,9973,100.0
vtiger_quotescf.csv,cf_1325,9973,9973,0,9973,100.0
vtiger_quotescf.csv,cf_1327,9973,9973,0,9973,100.0
vtiger_quotescf.csv,cf_1329,9973,9973,0,9973,100.0
vtiger_quotescf.csv,cf_1423,0,0,0,9973,0.0
vtiger_quotescf.csv,cf_1435,9968,323,9645,9973,99.95
vtiger_quotescf.csv,cf_1442,9973,9973,0,9973,100.0
vtiger_quotescf.csv,cf_1446,0,0,0,9973,0.0
vtiger_quotescf.csv,cf_1455,9973,328,9645,9973,100.0
vtiger_quotescf.csv,cf_1542,4634,4634,0,9973,46.47
vtiger_quotescf.csv,cf_1544,9645,0,9645,9973,96.71
vtiger_quotescf.csv,cf_1565,0,0,0,9973,0.0
vtiger_quotescf.csv,cf_1571,9973,9973,0,9973,100.0
vtiger_quotescf.csv,cf_1573,9973,328,9645,9973,100.0
vtiger_quotescf.csv,cf_1575,9973,9973,0,9973,100.0
vtiger_quotes_followup.csv,auto_id,0,0,0,25901,0.0
vtiger_quotes_followup.csv,quoteid,0,0,0,25901,0.0
vtiger_quotes_followup.csv,quotetype,0,0,0,25901,0.0
vtiger_quotes_followup.csv,followup_type,0,0,0,25901,0.0
vtiger_quotes_followup.csv,next_follow_up_date,0,0,0,25901,0.0
vtiger_quotes_followup.csv,description,2067,1,2066,25901,7.98
vtiger_quotes_followup.csv,outcome,23829,0,23829,25901,92.0
vtiger_quotes_followup.csv,followup,6668,37,6631,25901,25.74
vtiger_quotes_followup.csv,calltime,6631,0,6631,25901,25.6
vtiger_quotes_followup.csv,created_at,0,0,0,25901,0.0
vtiger_quotes_followup.csv,created_by,1663,0,1663,25901,6.42
vtiger_quotes_followup.csv,travel_agent_contact_name,3681,3515,165,25901,14.21
vtiger_quotes_followup.csv,office_phone,25540,19337,6203,25901,98.61
vtiger_quotes_followup.csv,mobile_phone,5343,5178,165,25901,20.63
vtiger_quotes_followup.csv,email,4650,4485,165,25901,17.95
vtiger_quote_stage_track.csv,auto_id,0,0,0,221070,0.0
vtiger_quote_stage_track.csv,quoteid,0,0,0,221070,0.0
vtiger_quote_stage_track.csv,user_name,3456,3456,0,221070,1.56
vtiger_quote_stage_track.csv,stage,0,0,0,221070,0.0
vtiger_quote_stage_track.csv,created_at,0,0,0,221070,0.0
vtiger_users.csv,id,0,0,0,77,0.0
vtiger_users.csv,user_name,0,0,0,77,0.0
vtiger_users.csv,first_name,2,2,0,77,2.6
vtiger_users.csv,last_name,0,0,0,77,0.0
vtiger_users.csv,title,0,0,0,77,0.0
vtiger_users.csv,department,58,58,0,77,75.32
vtiger_users.csv,profile_picture_path,63,63,0,77,81.82
vtiger_users.csv,status,0,0,0,77,0.0
vtiger_users.csv,quote_view,0,0,0,77,0.0
vtiger_users.csv,file_access,0,0,0,77,0.0
vtiger_users.csv,quote_pricing,0,0,0,77,0.0
vtiger_users.csv,alias_name,74,74,0,77,96.1
vtiger_users.csv,delete_tag,0,0,0,77,0.0
vtiger_users.csv,mailbox_all,0,0,0,77,0.0
vtiger_users.csv,view_followup,0,0,0,77,0.0
