stage,affected
Accepted,49
Accounts - Reconciliation,494
Auto Rejected,1840
Completed (Accounts),10
Created,126
Delivered,4
Final QA,1
On Ground,143
PRE QA - completed,8
PRE QA - pending,17
Payment Received - Release Vouchers,1
Rejected,4360
Rejected After Confirmation QA pending,20
Rejected After Confrmation QA completed,55
Rejected After Confrmation QA pending,67
Requote,2
Requote After Confirmation,1
