label,n
Aug 2026,36
Sep 2026,108
Oct 2026,126
Nov 2026,190
Dec 2026,138
Jan 2027,32
Feb 2027,37
Mar 2027,33
Apr 2027,17
May 2027,12
Jun 2027,4
Jul 2027,1
13+ months,1
