date,carryover,other_followup,total,carryover_pct
2026-08-05,120,53,173,69.3641618497
2026-08-06,110,56,166,66.265060241
2026-08-07,115,57,172,66.8604651163
2026-08-08,134,44,178,75.2808988764
2026-08-10,156,53,209,74.6411483254
2026-08-11,161,43,204,78.9215686275
2026-08-12,152,37,189,80.4232804233
2026-08-13,146,44,190,76.8421052632
2026-08-14,164,59,223,73.5426008969
2026-08-15,178,37,215,82.7906976744
2026-08-17,214,28,242,88.4297520661
2026-08-18,146,47,193,75.6476683938
