label,n,display,priority
Aug 2026,25,Aug 2026,False
Sep 2026,86,Sep 2026,False
Oct 2026,102,Oct 2026,False
Nov 2026,172,Nov 2026,True
Dec 2026,130,Dec 2026,True
Jan 2027,28,Jan 2027,False
Feb 2027,34,Feb 2027,False
Mar 2027,32,Mar 2027,False
Apr 2027,17,Apr 2027,False
May 2027,12,May 2027,False
Jun 2027,3,Jun 2027,False
Jul 2027,1,Jul 2027,False
13+ months,1,13+ months,False
