"date","team_calls","all_calls","queue_rows"
"2026-06-27T00:00:00.000","0","1","302"
"2026-08-15T00:00:00.000","0","0","250"
"2026-08-21T00:00:00.000","0","0","302"
"2026-08-22T00:00:00.000","0","0","321"
"2026-08-24T00:00:00.000","0","0","341"
"2026-08-25T00:00:00.000","0","0","364"
"2026-08-26T00:00:00.000","0","0","382"
"2026-08-27T00:00:00.000","0","2","402"
"2026-08-31T00:00:00.000","0","3","413"
